year,world_mean,oceania_mean,africa_mean,asia_mean,europe_mean,america_mean
2005,0.68,1.1,1.1,0.9,1.5,1.1
2006,0.63,0.6,0.9,1.1,0.9,1.4
2007,0.66,0.8,0.8,1.2,2.3,1.7
2008,0.54,0.5,0.7,0.9,2,0.6
2009,0.65,0.9,1,1.1,1.2,0.7
2010,0.72,0.6,1.5,1.3,0.8,1.5
2011,0.61,0.2,0.9,0.7,1.5,0.9
2012,0.64,0.2,0.8,0.7,1.8,1.5
2013,0.67,1.4,1,1.1,1.1,0.9
2014,0.74,1,1,0.9,1.8,0.7
2015,0.9,0.9,1.2,1.3,2.1,1.4
2016,1.02,1.1,1.4,1.5,2.3,1.9
2017,0.92,1,1.2,1.5,2,1.4
2018,0.85,1,1.2,1.4,2,0.9
2019,0.98,1.3,1.3,1.4,2.1,1.3
2020,1.02,1.3,1.2,1.5,3.3,1.3
